timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-09-10T14:00:40.1328867Z,1.2333333333333334,0,0,0,0
2025-09-10T14:01:40.1422603Z,1.0333333333333334,0,0,0,0
2025-09-10T14:02:40.1408554Z,1.1333333333333333,0,0,0,0
2025-09-10T14:03:40.1411076Z,0.9166666666666666,0,0,0,0
2025-09-10T14:04:40.1476761Z,0.95,0,0,0,0
2025-09-10T14:05:40.1409776Z,0.9666666666666667,0,0,0,0
2025-09-10T14:06:40.1488405Z,0.75,0,0,0,0
2025-09-10T14:07:40.1436689Z,1.1333333333333333,0,0,0,0
2025-09-10T14:08:40.1407980Z,1.0666666666666667,0,0,0,0
2025-09-10T14:09:40.1444305Z,1.2166666666666666,0,0,0,0
2025-09-10T14:10:40.1447154Z,1.05,0,0,0,0
2025-09-10T14:11:40.1438386Z,0.9333333333333333,0,0,0,0
2025-09-10T14:12:40.1410423Z,1.0166666666666666,0,0,0,0
2025-09-10T14:13:40.1437390Z,1.0833333333333333,0,0,0,0
2025-09-10T14:14:40.1519179Z,1.1833333333333333,0,0,0,0
2025-09-10T14:15:40.1372171Z,0.6166666666666667,0,0,0,0
2025-09-10T14:16:40.1370153Z,0.8166666666666667,0,0,0,0
2025-09-10T14:17:40.1452663Z,0.9166666666666666,0,0,0,0
2025-09-10T14:18:40.1372291Z,0.9333333333333333,0,0,0,0
2025-09-10T14:19:40.1348406Z,0.9666666666666667,0,0,0,0
2025-09-10T14:20:40.1432241Z,1.1166666666666667,0,0,0,0
2025-09-10T14:21:40.1471235Z,1.0833333333333333,0,0,0,0
2025-09-10T14:22:40.1366470Z,1.0166666666666666,0,0,0,0
2025-09-10T14:23:40.1332239Z,0.9333333333333333,0,0,0,0
2025-09-10T14:24:40.1386576Z,1.2666666666666666,0,0,0,0
2025-09-10T14:25:40.1548443Z,1.3,0,0,0,0
2025-09-10T14:26:40.1558725Z,0.6666666666666666,0,0,0,0
2025-09-10T14:27:40.1453762Z,0.9166666666666666,0,0,0,0
2025-09-10T14:28:40.1434349Z,1.2166666666666666,0,0,0,0
2025-09-10T14:29:40.1532643Z,1.25,0,0,0,0
2025-09-10T14:30:40.1361666Z,1.1,0,0,0,0
2025-09-10T14:31:40.1318176Z,0.9,0,0,0,0
2025-09-10T14:32:40.1357086Z,1.0166666666666666,0,0,0,0
2025-09-10T14:33:40.1387213Z,1,0,0,0,0
2025-09-10T14:34:40.1459034Z,0.9666666666666667,0,0,0,0
2025-09-10T14:35:40.1304526Z,0.9,0,0,0,0
2025-09-10T14:36:40.1353147Z,0.9833333333333333,0,0,0,0
2025-09-10T14:37:40.1361769Z,0.8166666666666667,0,0,0,0
2025-09-10T14:38:40.1427503Z,1.1,0,0,0,0
2025-09-10T14:39:40.1497332Z,0.7,0,0,0,0
2025-09-10T14:40:40.1425723Z,0.9166666666666666,0,0,0,0
2025-09-10T14:41:40.1457081Z,0.9166666666666666,0,0,0,0
2025-09-10T14:42:40.1406836Z,0.5833333333333334,0,0,0,0
2025-09-10T14:43:40.1470566Z,0.85,0,0,0,0
2025-09-10T14:44:40.1419718Z,0.95,0,0,0,0
2025-09-10T14:45:40.1501540Z,0.8,0,0,0,0
2025-09-10T14:46:40.1356411Z,0.95,0,0,0,0
2025-09-10T14:47:40.1408180Z,0.7166666666666667,0,0,0,0
2025-09-10T14:48:40.1494132Z,0.7166666666666667,0,0,0,0
2025-09-10T14:49:40.1344293Z,1.2333333333333334,0,0,0,0
2025-09-10T14:50:40.1439071Z,1.3166666666666667,0,0,0,0
2025-09-10T14:51:40.1507390Z,0.9666666666666667,0,0,0,0
2025-09-10T14:52:40.1446771Z,1.2833333333333334,0,0,0,0
