timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-09-05T13:20:56.8279902Z,0,0,0,0,0
2025-09-05T13:21:56.8404196Z,0,0,0,0,0
2025-09-05T13:22:56.8246424Z,0,0,0,0,0
2025-09-05T13:23:56.8164021Z,0,0,0,0,0
2025-09-05T13:24:56.8144354Z,0,0,0,0,0
2025-09-05T13:25:56.8244363Z,0,0,0,0,0
2025-09-05T13:26:56.8123618Z,0,0,0,0,0
2025-09-05T13:27:56.8333974Z,0,0,0,0,0
2025-09-05T13:28:56.8118692Z,0,0,0,0,0
2025-09-05T13:29:56.8398241Z,0,0,0,0,0
2025-09-05T13:30:56.8228607Z,0,0,0,0,0
2025-09-05T13:31:56.8147210Z,0,0,0,0,0
2025-09-05T13:32:56.8184716Z,0,0,0,0,0
2025-09-05T13:33:56.8188333Z,0,0,0,0,0
2025-09-05T13:34:56.8230051Z,0,0,0,0,0
2025-09-05T13:35:56.8272507Z,0,0,0,0,0
2025-09-05T13:36:56.8392927Z,0,0,0,0,0
2025-09-05T13:37:56.8212249Z,0,0,0,0,0
2025-09-05T13:38:56.8210316Z,0,0,0,0,0
2025-09-05T13:39:56.8160274Z,0,0,0,0,0
2025-09-05T13:40:56.8177824Z,0,0,0,0,0
2025-09-05T13:41:56.8161537Z,0,0,0,0,0
2025-09-05T13:42:56.8158645Z,0,0,0,0,0
2025-09-05T13:43:56.8151407Z,0,0,0,0,0
2025-09-05T13:44:56.8263288Z,0,0,0,0,0
2025-09-05T13:45:56.8204661Z,0,0,0,0,0
2025-09-05T13:46:56.8199573Z,0,0,0,0,0
2025-09-05T13:47:56.8253185Z,0,0,0,0,0
2025-09-05T13:48:56.8228399Z,0,0,0,0,0
2025-09-05T13:49:56.8192498Z,0,0,0,0,0
2025-09-05T13:50:56.8178114Z,0,0,0,0,0
2025-09-05T13:51:56.8256080Z,0,0,0,0,0
2025-09-05T13:52:56.8209914Z,0,0,0,0,0
2025-09-05T13:53:56.8251060Z,0,0,0,0,0
2025-09-05T13:54:56.8171464Z,0,0,0,0,0
2025-09-05T13:55:56.8228584Z,0,0,0,0,0
2025-09-05T13:56:56.8149166Z,0,0,0,0,0
2025-09-05T13:57:56.8197858Z,0,0,0,0,0
2025-09-05T13:58:56.8262155Z,0,0,0,0,0
2025-09-05T13:59:56.8173327Z,0,0,0,0,0
2025-09-05T14:00:56.8205280Z,0,0,0,0,0
2025-09-05T14:01:56.8119714Z,0,0,0,0,0
2025-09-05T14:02:56.8327492Z,0,0,0,0,0
2025-09-05T14:03:56.8257064Z,0,0,0,0,0
2025-09-05T14:04:56.8262711Z,0,0,0,0,0
2025-09-05T14:05:56.8382672Z,0,0,0,0,0
2025-09-05T14:06:56.8229365Z,0,0,0,0,0
2025-09-05T14:07:56.8170757Z,0,0,0,0,0
2025-09-05T14:08:56.8252315Z,0,0,0,0,0
2025-09-05T14:09:56.8239830Z,0,0,0,0,0
2025-09-05T14:10:56.8121748Z,0,0,0,0,0
2025-09-05T14:11:56.8294073Z,0,0,0,0,0
2025-09-05T14:12:56.8286264Z,0,0,0,0,0
