timestamp,open,high,low,close,volume
2024-08-01 09:00:00,2525.00,2525.87,2522.25,2523.39,136
2024-08-01 09:15:00,2523.39,2524.11,2521.90,2523.68,362
2024-08-01 09:30:00,2523.68,2523.94,2520.64,2521.96,348
2024-08-01 09:45:00,2521.96,2522.31,2519.81,2521.05,490
2024-08-01 10:00:00,2521.05,2524.11,2519.61,2522.72,166
2024-08-01 10:15:00,2522.72,2523.50,2520.35,2521.72,79
2024-08-01 10:30:00,2521.72,2523.17,2520.24,2522.92,222
2024-08-01 10:45:00,2522.92,2523.95,2521.41,2522.16,428
2024-08-01 11:00:00,2522.16,2522.71,2519.48,2520.85,76
2024-08-01 11:15:00,2520.85,2521.26,2518.42,2519.47,308
2024-08-01 11:30:00,2519.47,2520.78,2518.62,2520.31,288
2024-08-01 11:45:00,2520.31,2522.55,2519.48,2521.78,394
2024-08-01 12:00:00,2521.78,2522.55,2519.65,2519.97,353
2024-08-01 12:15:00,2519.97,2520.22,2519.46,2519.68,417
2024-08-01 12:30:00,2519.68,2520.55,2517.68,2518.49,396
2024-08-01 12:45:00,2518.49,2520.49,2517.62,2519.54,474
2024-08-01 13:00:00,2519.54,2520.38,2518.53,2519.41,434
2024-08-01 13:15:00,2519.41,2520.84,2519.30,2520.31,224
2024-08-01 13:30:00,2520.31,2522.95,2519.20,2522.12,115
2024-08-01 13:45:00,2522.12,2525.00,2520.88,2523.99,120
2024-08-01 14:00:00,2523.99,2525.30,2522.77,2523.96,79
2024-08-01 14:15:00,2523.96,2525.27,2522.16,2522.44,318
2024-08-01 14:30:00,2522.44,2523.65,2521.99,2522.19,153
2024-08-01 14:45:00,2522.19,2523.20,2519.85,2520.57,124
2024-08-01 15:00:00,2520.57,2522.88,2519.73,2521.39,190
2024-08-01 15:15:00,2521.39,2522.56,2519.85,2521.22,363
2024-08-01 15:30:00,2521.22,2521.81,2519.73,2521.06,274
2024-08-01 15:45:00,2521.06,2521.56,2519.24,2520.39,125
2024-08-01 16:00:00,2520.39,2521.41,2518.19,2518.70,273
2024-08-01 16:15:00,2518.70,2519.17,2516.20,2516.82,499
2024-08-01 16:30:00,2516.82,2517.52,2516.37,2516.86,375
2024-08-01 16:45:00,2516.86,2517.92,2516.59,2517.40,426
2024-08-01 17:00:00,2517.40,2520.81,2516.07,2519.39,366
2024-08-01 17:15:00,2519.39,2520.19,2518.19,2519.53,480
2024-08-01 17:30:00,2519.53,2520.17,2516.83,2517.60,144
2024-08-01 17:45:00,2517.60,2517.76,2515.79,2516.75,198
2024-08-01 18:00:00,2516.75,2518.24,2515.90,2516.26,228
2024-08-01 18:15:00,2516.26,2518.65,2515.90,2517.56,279
2024-08-01 18:30:00,2517.56,2519.08,2516.33,2518.34,207
2024-08-01 18:45:00,2518.34,2520.51,2518.02,2519.89,331
2024-08-01 19:00:00,2519.89,2521.52,2519.11,2520.78,499
2024-08-01 19:15:00,2520.78,2522.36,2519.28,2521.80,374
2024-08-01 19:30:00,2521.80,2523.44,2520.32,2523.33,332
2024-08-01 19:45:00,2523.33,2524.46,2522.51,2522.61,62
2024-08-01 20:00:00,2522.61,2523.51,2521.15,2523.26,489
2024-08-01 20:15:00,2523.26,2525.27,2522.37,2524.42,305
2024-08-01 20:30:00,2524.42,2527.46,2523.49,2526.23,209
2024-08-01 20:45:00,2526.23,2528.56,2525.66,2527.23,480
2024-08-01 21:00:00,2527.23,2528.29,2525.83,2527.68,76
2024-08-01 21:15:00,2527.68,2531.03,2527.24,2529.58,404
2024-08-01 21:30:00,2529.58,2531.67,2529.32,2530.29,232
2024-08-01 21:45:00,2530.29,2532.91,2530.17,2531.52,232
2024-08-01 22:00:00,2531.52,2532.60,2531.12,2531.68,192
2024-08-01 22:15:00,2531.68,2532.36,2528.84,2529.84,110
2024-08-01 22:30:00,2529.84,2531.15,2529.50,2530.52,307
2024-08-01 22:45:00,2530.52,2530.53,2529.10,2529.96,256
2024-08-01 23:00:00,2529.96,2532.74,2528.92,2531.50,494
2024-08-01 23:15:00,2531.50,2532.55,2529.67,2531.12,167
2024-08-01 23:30:00,2531.12,2531.86,2529.68,2530.59,118
2024-08-01 23:45:00,2530.59,2531.06,2529.32,2530.66,115
2024-08-02 00:00:00,2530.66,2531.05,2527.92,2528.70,329
2024-08-02 00:15:00,2528.70,2529.30,2527.42,2528.73,73
2024-08-02 00:30:00,2528.73,2529.80,2527.58,2527.95,166
2024-08-02 00:45:00,2527.95,2529.23,2525.66,2526.99,76
2024-08-02 01:00:00,2526.99,2528.85,2526.49,2527.52,320
2024-08-02 01:15:00,2527.52,2529.48,2526.77,2528.25,479
2024-08-02 01:30:00,2528.25,2528.74,2525.18,2526.46,142
2024-08-02 01:45:00,2526.46,2527.56,2524.19,2525.19,457
2024-08-02 02:00:00,2525.19,2525.62,2523.90,2524.92,355
2024-08-02 02:15:00,2524.92,2525.68,2523.61,2525.57,60
2024-08-02 02:30:00,2525.57,2526.92,2524.72,2526.51,338
2024-08-02 02:45:00,2526.51,2527.84,2526.13,2526.28,296
2024-08-02 03:00:00,2526.28,2527.53,2524.53,2525.16,88
2024-08-02 03:15:00,2525.16,2525.77,2522.28,2523.37,175
2024-08-02 03:30:00,2523.37,2524.03,2521.17,2521.88,468
2024-08-02 03:45:00,2521.88,2525.00,2521.73,2523.69,296
2024-08-02 04:00:00,2523.69,2524.29,2522.79,2523.56,306
2024-08-02 04:15:00,2523.56,2523.99,2523.28,2523.30,156
2024-08-02 04:30:00,2523.30,2524.11,2522.03,2523.88,189
2024-08-02 04:45:00,2523.88,2524.06,2521.29,2522.01,298
2024-08-02 05:00:00,2522.01,2522.81,2521.29,2522.05,178
2024-08-02 05:15:00,2522.05,2523.20,2521.35,2522.65,359
2024-08-02 05:30:00,2522.65,2524.79,2522.57,2524.22,173
2024-08-02 05:45:00,2524.22,2525.64,2521.90,2522.54,328
2024-08-02 06:00:00,2522.54,2525.24,2522.44,2523.83,84
2024-08-02 06:15:00,2523.83,2524.00,2522.22,2522.40,179
2024-08-02 06:30:00,2522.40,2523.84,2521.34,2523.50,179
2024-08-02 06:45:00,2523.50,2526.14,2522.20,2524.82,449
2024-08-02 07:00:00,2524.82,2526.70,2523.46,2526.29,273
2024-08-02 07:15:00,2526.29,2527.20,2525.35,2526.92,131
2024-08-02 07:30:00,2526.92,2527.20,2525.11,2525.37,289
2024-08-02 07:45:00,2525.37,2527.64,2524.26,2526.64,251
2024-08-02 08:00:00,2526.64,2526.77,2523.82,2524.97,333
2024-08-02 08:15:00,2524.97,2526.42,2524.11,2526.36,160
2024-08-02 08:30:00,2526.36,2528.88,2526.25,2527.38,437
2024-08-02 08:45:00,2527.38,2528.25,2524.76,2525.96,60
2024-08-02 09:00:00,2525.96,2527.20,2524.97,2525.60,472
2024-08-02 09:15:00,2525.60,2526.56,2523.61,2524.21,348
