phase,timestamp_iso,epoch_ms,orderId,intendedPrice,execPrice,requestedSize,filledSize,slippage,brokerMsg
REQUEST,2025-08-15T06:36:25.2081287Z,1755239785208,ORD-0,100,,1,,,
ACK,2025-08-15T06:36:25.2085743Z,1755239785208,ORD-0,100,,1,,,
FILL,2025-08-15T06:36:25.2087179Z,1755239785208,ORD-0,100,100.0005,1,1,0.0005000000000023874,
REQUEST,2025-08-15T06:36:25.4554138Z,1755239785455,ORD-15,100.15,,1,,,
ACK,2025-08-15T06:36:25.4559651Z,1755239785455,ORD-15,100.15,,1,,,
REQUEST,2025-08-15T06:36:25.6543090Z,1755239785654,ORD-30,100.3,,1,,,
ACK,2025-08-15T06:36:25.6546331Z,1755239785654,ORD-30,100.3,,1,,,
FILL,2025-08-15T06:36:25.6547878Z,1755239785654,ORD-30,100.3,100.3005,1,1,0.0005000000000023874,
REQUEST,2025-08-15T06:36:25.9047368Z,1755239785904,ORD-45,100.45,,1,,,
ACK,2025-08-15T06:36:25.9055579Z,1755239785905,ORD-45,100.45,,1,,,
REQUEST,2025-08-15T06:36:26.1405784Z,1755239786140,ORD-60,100.6,,1,,,
ACK,2025-08-15T06:36:26.1412017Z,1755239786141,ORD-60,100.6,,1,,,
FILL,2025-08-15T06:36:26.1414778Z,1755239786141,ORD-60,100.6,100.6005,1,1,0.0005000000000023874,
REQUEST,2025-08-15T06:36:26.3726852Z,1755239786372,ORD-75,100.75,,1,,,
ACK,2025-08-15T06:36:26.3733288Z,1755239786373,ORD-75,100.75,,1,,,
REQUEST,2025-08-15T06:36:26.6060712Z,1755239786606,ORD-90,100.9,,1,,,
ACK,2025-08-15T06:36:26.6067402Z,1755239786606,ORD-90,100.9,,1,,,
FILL,2025-08-15T06:36:26.6070336Z,1755239786607,ORD-90,100.9,100.90050000000001,1,1,0.0005000000000023874,
REQUEST,2025-08-15T06:36:26.8549630Z,1755239786854,ORD-105,101.05,,1,,,
ACK,2025-08-15T06:36:26.8551821Z,1755239786855,ORD-105,101.05,,1,,,
