trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
T-ORD-15,ORD-0,ORD-15,2025-08-22T13:01:54.2918126Z,2025-08-22T13:01:54.5118411Z,BUY-SELL,1,100.0005,100.1495,0.1490000000000009,0,harness
T-ORD-45,ORD-30,ORD-45,2025-08-22T13:01:54.7441577Z,2025-08-22T13:01:54.9780559Z,BUY-SELL,1,100.3005,100.4495,0.1490000000000009,0,harness
T-ORD-75,ORD-60,ORD-75,2025-08-22T13:01:55.2087329Z,2025-08-22T13:01:55.4424365Z,BUY-SELL,1,100.6005,100.7495,0.1490000000000009,0,harness
T-ORD-105,ORD-90,ORD-105,2025-08-22T13:01:55.6722073Z,2025-08-22T13:01:55.9026521Z,BUY-SELL,1,100.90050000000001,101.0495,0.1489999999999867,0,harness
T-ORD-135,ORD-120,ORD-135,2025-08-22T13:01:56.1382636Z,2025-08-22T13:01:56.3683287Z,BUY-SELL,1,101.2005,101.34949999999999,0.1489999999999867,0,harness
T-ORD-165,ORD-150,ORD-165,2025-08-22T13:01:56.6007168Z,2025-08-22T13:01:56.8401006Z,BUY-SELL,1,101.5005,101.6495,0.1490000000000009,0,harness
T-ORD-195,ORD-180,ORD-195,2025-08-22T13:01:57.0711362Z,2025-08-22T13:01:57.3032995Z,BUY-SELL,1,101.8005,101.9495,0.1490000000000009,0,harness
T-ORD-225,ORD-210,ORD-225,2025-08-22T13:01:57.5340153Z,2025-08-22T13:01:57.7692691Z,BUY-SELL,1,102.1005,102.2495,0.1490000000000009,0,harness
T-ORD-255,ORD-240,ORD-255,2025-08-22T13:01:57.9998298Z,2025-08-22T13:01:58.2313216Z,BUY-SELL,1,102.40050000000001,102.5495,0.1489999999999867,0,harness
T-ORD-285,ORD-270,ORD-285,2025-08-22T13:01:58.4644287Z,2025-08-22T13:01:58.6882886Z,BUY-SELL,1,102.7005,102.84949999999999,0.1489999999999867,0,harness
T-ORD-315,ORD-300,ORD-315,2025-08-22T13:01:58.9329033Z,2025-08-22T13:01:59.1652127Z,BUY-SELL,1,103.0005,103.1495,0.1490000000000009,0,harness
T-ORD-345,ORD-330,ORD-345,2025-08-22T13:01:59.3978630Z,2025-08-22T13:01:59.6300947Z,BUY-SELL,1,103.3005,103.4495,0.1490000000000009,0,harness
T-ORD-375,ORD-360,ORD-375,2025-08-22T13:01:59.8623008Z,2025-08-22T13:02:00.0958021Z,BUY-SELL,1,103.6005,103.7495,0.1490000000000009,0,harness
T-ORD-405,ORD-390,ORD-405,2025-08-22T13:02:00.3437381Z,2025-08-22T13:02:00.5771456Z,BUY-SELL,1,103.90050000000001,104.0495,0.1489999999999867,0,harness
T-ORD-435,ORD-420,ORD-435,2025-08-22T13:02:00.8124243Z,2025-08-22T13:02:01.0605591Z,BUY-SELL,1,104.2005,104.34949999999999,0.1489999999999867,0,harness
T-ORD-465,ORD-450,ORD-465,2025-08-22T13:02:01.2941385Z,2025-08-22T13:02:01.5296600Z,BUY-SELL,1,104.5005,104.6495,0.1490000000000009,0,harness
T-ORD-495,ORD-480,ORD-495,2025-08-22T13:02:01.7649340Z,2025-08-22T13:02:01.9959889Z,BUY-SELL,1,104.8005,104.9495,0.1490000000000009,0,harness
T-ORD-525,ORD-510,ORD-525,2025-08-22T13:02:02.2297851Z,2025-08-22T13:02:02.4618174Z,BUY-SELL,1,105.1005,105.2495,0.1490000000000009,0,harness
T-ORD-555,ORD-540,ORD-555,2025-08-22T13:02:02.6925716Z,2025-08-22T13:02:02.9249863Z,BUY-SELL,1,105.40050000000001,105.5495,0.1489999999999867,0,harness
