phase,timestamp_iso,epoch_ms,orderId,intendedPrice,stopLoss,execPrice,theoretical_lots,theoretical_units,requestedVolume,filledSize,slippage,brokerMsg,client_order_id,side,action,type,status,reason,latency_ms,price_requested,price_filled,size_requested,size_filled,session,host,order_id,timestamp_request,timestamp_ack,timestamp_fill
REQUEST,2025-08-24T05:34:30.5665052Z,1756013670566,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,REQUEST,,,100,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:30.5765233Z,1756013670576,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,ACK,,10,100,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:30.5815138Z,1756013670581,ORD-0,100,99.95,100.0005,,,1,1,0.0005000000000023874,filled,ORD-0,Buy,BUY,Market,FILL,filled,15,100,100.0005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:30.8140335Z,1756013670814,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,REQUEST,,,100.15,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:30.8494312Z,1756013670849,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,ACK,,35,100.15,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:30.8509500Z,1756013670850,ORD-15,100.15,,100.1495,,,1,1,-0.0005000000000023874,filled,ORD-15,Sell,SELL,Market,FILL,filled,36,100.15,100.1495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:31.0906156Z,1756013671090,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,REQUEST,,,100.3,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:31.1060940Z,1756013671106,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,ACK,,16,100.3,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:31.1144397Z,1756013671114,ORD-30,100.3,100.25,100.3005,,,1,1,0.0005000000000023874,filled,ORD-30,Buy,BUY,Market,FILL,filled,24,100.3,100.3005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:31.3448423Z,1756013671344,ORD-45,100.45,,,,,1,,,,ORD-45,Sell,SELL,Market,REQUEST,,,100.45,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:31.3545433Z,1756013671354,ORD-45,100.45,,,,,1,,,,ORD-45,Sell,SELL,Market,ACK,,10,100.45,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:31.3669388Z,1756013671366,ORD-45,100.45,,100.4495,,,1,1,-0.0005000000000023874,filled,ORD-45,Sell,SELL,Market,FILL,filled,22,100.45,100.4495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:31.6462203Z,1756013671646,ORD-60,100.6,100.55,,,,1,,,,ORD-60,Buy,BUY,Market,REQUEST,,,100.6,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:31.6791887Z,1756013671679,ORD-60,100.6,100.55,,,,1,,,,ORD-60,Buy,BUY,Market,ACK,,33,100.6,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:31.6808297Z,1756013671680,ORD-60,100.6,100.55,100.6005,,,1,1,0.0005000000000023874,filled,ORD-60,Buy,BUY,Market,FILL,filled,34,100.6,100.6005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:31.9045489Z,1756013671904,ORD-75,100.75,,,,,1,,,,ORD-75,Sell,SELL,Market,REQUEST,,,100.75,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:31.9431937Z,1756013671943,ORD-75,100.75,,,,,1,,,,ORD-75,Sell,SELL,Market,ACK,,39,100.75,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:31.9453657Z,1756013671945,ORD-75,100.75,,100.7495,,,1,1,-0.0005000000000023874,filled,ORD-75,Sell,SELL,Market,FILL,filled,41,100.75,100.7495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:32.1854630Z,1756013672185,ORD-90,100.9,100.85000000000001,,,,1,,,,ORD-90,Buy,BUY,Market,REQUEST,,,100.9,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:32.2213828Z,1756013672221,ORD-90,100.9,100.85000000000001,,,,1,,,,ORD-90,Buy,BUY,Market,ACK,,36,100.9,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:32.2232899Z,1756013672223,ORD-90,100.9,100.85000000000001,100.90050000000001,,,1,1,0.0005000000000023874,filled,ORD-90,Buy,BUY,Market,FILL,filled,38,100.9,100.90050000000001,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:32.4547170Z,1756013672454,ORD-105,101.05,,,,,1,,,,ORD-105,Sell,SELL,Market,REQUEST,,,101.05,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:32.4724023Z,1756013672472,ORD-105,101.05,,,,,1,,,,ORD-105,Sell,SELL,Market,ACK,,18,101.05,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:32.4738288Z,1756013672473,ORD-105,101.05,,101.0495,,,1,1,-0.0005000000000023874,filled,ORD-105,Sell,SELL,Market,FILL,filled,19,101.05,101.0495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:32.7043958Z,1756013672704,ORD-120,101.2,101.15,,,,1,,,,ORD-120,Buy,BUY,Market,REQUEST,,,101.2,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:32.7389353Z,1756013672738,ORD-120,101.2,101.15,,,,1,,,,ORD-120,Buy,BUY,Market,ACK,,34,101.2,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:32.7406194Z,1756013672740,ORD-120,101.2,101.15,101.2005,,,1,1,0.0005000000000023874,filled,ORD-120,Buy,BUY,Market,FILL,filled,36,101.2,101.2005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:32.9556304Z,1756013672955,ORD-135,101.35,,,,,1,,,,ORD-135,Sell,SELL,Market,REQUEST,,,101.35,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:32.9887097Z,1756013672988,ORD-135,101.35,,,,,1,,,,ORD-135,Sell,SELL,Market,ACK,,33,101.35,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-24T05:34:32.9908691Z,1756013672990,ORD-135,101.35,,101.34949999999999,,,1,1,-0.0005000000000023874,filled,ORD-135,Sell,SELL,Market,FILL,filled,35,101.35,101.34949999999999,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-24T05:34:33.2196546Z,1756013673219,ORD-150,101.5,101.45,,,,1,,,,ORD-150,Buy,BUY,Market,REQUEST,,,101.5,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-24T05:34:33.2549320Z,1756013673254,ORD-150,101.5,101.45,,,,1,,,,ORD-150,Buy,BUY,Market,ACK,,35,101.5,,1,,HARNESS,DESKTOP-584MV4B
